,rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
0,15,102. 망원역 1번출구 앞,21,140,37.55564880,126.91062927,ST-4
1,14,103. 망원역 2번출구 앞,24,171,37.55495071,126.91083527,ST-5
2,13,104. 합정역 1번출구 앞,4,31,37.55073929,126.91508484,ST-6
3,5,105. 합정역 5번출구 앞,0,0,37.55000687,126.91482544,ST-7
4,12,106. 합정역 7번출구 앞,7,58,37.54864502,126.91282654,ST-8
5,10,107. 수협 연남동지점,20,200,37.55784607,126.91871643,ST-9
6,12,108. 서교동 사거리,13,108,37.55274582,126.91861725,ST-10
7,10,111. 상수역 2번출구 앞,9,90,37.54787064,126.92353058,ST-15
8,25,113. 홍대입구역 2번출구 앞,74,296,37.55743790,126.92382050,ST-18
9,15,114. 홍대입구역 8번출구 앞,12,80,37.55706024,126.92442322,ST-20
10,15,115. 마스타 빌딩 앞,8,53,37.55893326,126.92711639,ST-12
11,23,117. 홍은사거리,16,70,37.59115982,126.94132996,ST-17
12,9,118. 광흥창역 2번출구 앞,2,22,37.54773331,126.93176270,ST-19
13,10,119. 서강나루 공원,4,40,37.54520798,126.93146515,ST-21
14,5,120. 신수동 사거리,0,0,37.54524231,126.93411255,ST-22
15,15,121. 마포소방서 앞,5,33,37.54976654,126.93317413,ST-23
16,10,122. 신성기사식당 앞,3,30,37.54745865,126.93837738,ST-24
17,20,123. 문화촌 공원,1,5,37.59432983,126.94738770,ST-25
18,35,124. 서강대 정문 건너편,6,17,37.55113983,126.93698883,ST-26
19,20,126. 서강대 후문 옆,15,75,37.55041122,126.94384766,ST-28
20,9,127. 현대벤처빌 앞,2,22,37.55352020,126.93695068,ST-29
21,19,128. 신촌역(2호선) 1번출구 옆,5,26,37.55549622,126.93634033,ST-30
22,10,129. 신촌역(2호선) 6번출구 옆,4,40,37.55505371,126.93756866,ST-31
23,10,130. 신촌역(2호선) 7번출구 앞,23,230,37.55504990,126.93626404,ST-32
24,20,131. 증산2교,3,15,37.58417130,126.91110229,ST-33
25,15,133. 해담는다리,0,0,37.58203125,126.90899658,ST-35
26,8,134. 연세로 명물길,22,275,37.55789185,126.93807983,ST-36
27,10,135. 명물길 원형무대 앞,12,120,37.55922699,126.93984222,ST-37
28,10,137. 신촌기차역입구 교차로,2,20,37.55681229,126.94318390,ST-39
29,10,138. 신촌동 제1공영주차장 앞,0,0,37.55917740,126.93452454,ST-40
30,10,139. 연세대 정문 건너편,1,10,37.55986404,126.93441772,ST-43
31,22,140. 이화여대 후문,12,55,37.56000900,126.94073486,ST-41
32,10,141. 연대 대운동장 옆,1,10,37.56238174,126.93264771,ST-42
33,11,142. 아현역 4번출구 앞,4,36,37.55720139,126.95566559,ST-200
34,8,143. 공덕역 2번출구,18,225,37.54464722,126.95008850,ST-201
35,9,145. 공덕역 5번출구,13,144,37.54425049,126.95163727,ST-203
36,12,146. 마포역 2번출구 뒤,18,150,37.53993607,126.94582367,ST-204
37,7,147. 마포역 4번출구 뒤,10,143,37.53927231,126.94591522,ST-205
38,15,150. 서강대역 2번출구 앞,2,13,37.55295563,126.93434143,ST-207
39,10,153. 성산2교 사거리,11,110,37.56469727,126.91261292,ST-210
40,12,154. 마포구청역 ,7,58,37.56090927,126.90549469,ST-211
41,15,155. 가좌역1 번출구 앞,1,7,37.56829453,126.91504669,ST-212
42,10,156. 서울서부지방법원 앞,32,320,37.54933167,126.95491791,ST-213
43,12,157. 애오개역 4번출구 앞,4,33,37.55300140,126.95668793,ST-214
44,5,159. 이대역 4번 출구,0,0,37.55695343,126.94634247,ST-216
45,13,160. 북아현동 가구거리,17,131,37.55754852,126.95938110,ST-217
46,8,161. 무악재역1번 출구,2,25,37.58224487,126.95064545,ST-218
47,15,162. 봉원고가차도 밑,49,327,37.56626129,126.94667053,ST-219
48,6,163. 명지전문대학교 정문 앞,5,83,37.58369827,126.92496490,ST-220
49,10,164. 북가좌1동 주민센터 ,2,20,37.57447815,126.91004944,ST-221
50,20,165. 중앙근린공원,0,0,37.57513809,126.91394043,ST-222
51,20,166. 가재울 초등학교,0,0,37.57381821,126.91923523,ST-223
52,15,167. 연가초등학교 옆,0,0,37.57946014,126.91712952,ST-224
53,10,169. 북가좌 삼거리,14,140,37.57300186,126.90779877,ST-226
54,10,170. DMC파크뷰자이아파트 302동 앞,1,10,37.57311249,126.92244720,ST-227
55,10,171. 임광빌딩 앞,21,210,37.56472397,126.96727753,ST-228
56,8,173. 서대문역 8번출구 앞,12,150,37.56477737,126.96614838,ST-230
57,15,175. 홍연2교옆,6,40,37.57806778,126.93088531,ST-231
58,10,176. 명지대학교 도서관,1,10,37.58109665,126.92402649,ST-555
59,8,177. 북가좌 초등학교,1,13,37.57763672,126.90965271,ST-345
60,9,178. 증산3교 앞,1,11,37.57987595,126.90634918,ST-349
61,14,179. 가좌역 4번출구 앞,11,79,37.56877518,126.91529846,ST-232
62,10,180. 충정로역 7번출구 아래,0,0,37.55996704,126.96246338,ST-233
63,15,181. 망원초록길 입구,6,40,37.55134201,126.90267181,ST-339
64,9,182. 망원2빗물펌프장 앞,2,22,37.55136490,126.90306091,ST-340
65,15,183. 하늘채코오롱아파트 건너편,19,127,37.56538773,126.91932678,ST-341
66,8,184. 7번가피자 서교망원점,6,75,37.55894852,126.90775299,ST-342
67,15,185. 마포 신수공원 앞,0,0,37.54254532,126.93429565,ST-343
68,40,186. 월드컵공원,69,173,37.56396484,126.89820862,ST-344
69,9,188. 홍은동 정원여중 입구,1,11,37.58638763,126.93512726,ST-346
70,10,191. 서우빌딩,6,60,37.57889175,126.91073608,ST-347
71,8,192. 연서어린이공원,0,0,37.57222748,126.92306519,ST-348
72,10,194. 증산교 앞,16,160,37.57731628,126.90296936,ST-350
73,10,195. 모래내고가차도 ,0,0,37.56765747,126.91780853,ST-351
74,10,196. 연희교차로 인근,1,10,37.56612015,126.92589569,ST-352
75,10,198. 충정2교,6,60,37.56390762,126.96497345,ST-354
76,30,199. 서울 월드컵 경기장,46,153,37.56684494,126.89644623,ST-443
77,22,200. 국회의원회관,21,95,37.52841568,126.91391754,ST-45
78,15,201. 진미파라곤 앞,33,220,37.53123856,126.92133331,ST-46
79,30,202. 국민일보 앞,108,360,37.52881622,126.92453003,ST-47
80,15,203. 국회의사당역 3번출구 옆,4,27,37.52805710,126.91870117,ST-51
81,13,204. 국회의사당역 5번출구 옆,29,223,37.52816391,126.91702271,ST-50
82,20,205. 산업은행 앞,37,185,37.52626419,126.92050934,ST-52
83,35,206. KBS 앞,86,246,37.52466583,126.91802216,ST-53
84,46,207. 여의나루역 1번출구 앞,3,7,37.52715683,126.93190002,ST-73
85,22,209. 유진투자증권빌딩 앞,99,450,37.52461243,126.92783356,ST-55
86,19,213. KT앞,1,5,37.52190781,126.91895294,ST-59
87,21,214. 금융감독원 앞,68,324,37.52302170,126.92083740,ST-60
88,10,215. 여의도고교 앞,4,40,37.52483749,126.93490601,ST-64
89,15,217. NH농협은행 앞,90,600,37.52207947,126.93036652,ST-66
90,12,219. 롯데캐슬엠파이어 옆,52,433,37.52069473,126.92583466,ST-62
91,30,220. 미성아파트 A동 앞,35,117,37.51936340,126.92604828,ST-63
92,10,221. 여의도초교 앞,1,10,37.52267456,126.93778992,ST-67
93,12,222. 시범아파트버스정류장 옆,28,233,37.51902008,126.93688965,ST-68
94,20,223. 진주아파트상가 앞,16,80,37.51913071,126.93337250,ST-69
95,20,224. 롯데캐슬 앞,22,110,37.52008820,126.93236542,ST-70
96,26,225. 앙카라공원 앞,13,50,37.51758575,126.92961884,ST-71
97,19,226. 샛강역 1번출구 앞,21,111,37.51776505,126.92841339,ST-72
98,20,227. 양평1나들목 보행통로 입구,29,145,37.54466629,126.88835907,ST-277
99,10,228. 선유도역 3번출구 앞,26,260,37.53845978,126.89450836,ST-278
100,25,229. 양평1 보행육교 앞,128,512,37.53587341,126.89218140,ST-279
101,13,230. 영등포구청역 1번출구,14,108,37.52435684,126.89600372,ST-413
102,10,231. 남부고용노동지청 남측,37,370,37.52450562,126.89182281,ST-280
103,20,232. 양평우림 이비즈센타 앞,18,90,37.52565002,126.88781738,ST-281
